"stat_code","stat_name","item_code1","item_name1","item_code2","item_name2","item_code3","item_name3","item_code4","item_name4","time","data_value","unit_name"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1981Q1",44934,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1981Q2",46019.4,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1981Q3",47935.1,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1981Q4",48687.1,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1982Q1",49017.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1982Q2",50168.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1982Q3",51209.1,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1982Q4",52820.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1983Q1",55160.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1983Q2",56864,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1983Q3",58975.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1983Q4",59397.9,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1984Q1",62000.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1984Q2",63554.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1984Q3",64420.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1984Q4",64733.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1985Q1",66553.4,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1985Q2",68156.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1985Q3",68932,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1985Q4",71033.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1986Q1",72401.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1986Q2",75222.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1986Q3",78470.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1986Q4",79694.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1987Q1",82253.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1987Q2",86327.9,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1987Q3",87170.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1987Q4",88944.4,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1988Q1",95796,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1988Q2",93726.1,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1988Q3",96674.4,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1988Q4",99820.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1989Q1",99864,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1989Q2",101322.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1989Q3",103920.9,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1989Q4",108212.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1990Q1",109314.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1990Q2",111753.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1990Q3",115366.1,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1990Q4",117711.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1991Q1",122126.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1991Q2",124155.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1991Q3",126818.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1991Q4",129993.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1992Q1",132308.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1992Q2",133236.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1992Q3",133326.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1992Q4",135407.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1993Q1",138103,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1993Q2",141645.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1993Q3",144257.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1993Q4",147017.9,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1994Q1",151306.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1994Q2",153774.9,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1994Q3",156361.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1994Q4",162507.4,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1995Q1",165904.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1995Q2",169258.9,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1995Q3",172772.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1995Q4",176004.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1996Q1",179362.7,"십억원"
